GEOID,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
01001,64.2,63.5,63,64.2,62,64.1,62.6,62.7,63.2,65.9,64.3,63.6,66.2
01003,67,66.5,65.6,66.6,64.7,67.2,65.7,65.8,66.4,68.1,67.6,66.1,68.9
01005,64.5,63.9,63.9,64.6,62.8,65,63.5,64.1,64.4,67.3,65.1,63.9,66.1
01007,62.8,62.3,61.8,63.1,61.1,63,61.1,61.6,61.9,64.6,63.3,62.5,64
01009,61,59.8,59.6,60.7,58.5,60.5,58.8,59.9,60.3,62.8,61.5,60.9,62.6
01011,63.9,63.5,63.3,64.5,62.1,64.1,62.8,63.2,63.7,66.5,64.6,63.4,65.9
01013,64.8,64.2,64,64.9,62.9,64.9,63,63.2,63.9,66.2,64.9,63.7,67.1
01015,61.3,60.5,60.1,61.3,59,60.6,59.5,60.3,60.3,62.9,61.4,61.1,63.1
01017,61.7,61.1,60.9,61.6,59.8,61.2,60.1,60.8,61.1,63.9,62.1,61.4,63.1
01019,61.3,60,59.8,60.8,58.4,60.4,58.9,60,59.8,62.4,60.8,60.5,62.3
01021,62.7,62.3,61.8,62.9,60.9,62.9,61,61.4,62,64.9,63.2,62.6,64.4
01023,64.8,64.5,63.6,65.1,62.7,64.8,63.1,63.2,64,66.2,65,64.1,66.3
01025,65.1,64.8,64.2,65.2,62.8,65.1,63.7,63.6,64.5,66.5,65.6,64.6,67.1
01027,60.7,60.4,59.9,61,58.9,60.3,59.4,60.1,60,62.8,61,60.6,62.5
01029,60.3,59.6,59.2,60.3,57.9,59.6,58.7,59.3,59.3,62,60.2,59.9,62.3
01031,65.6,64.8,64.5,65.2,63.9,65.8,64.1,64.1,64.9,67.2,65.8,64.4,67.3
01033,60.8,59.2,59.6,60.2,58,59.5,57.9,59.4,59.5,61.8,60.8,59.8,61.9
01035,65.6,65.2,65,65.8,63.6,65.7,63.8,64.1,64.7,66.8,65.5,64.3,68
01037,62.3,62,61.5,62.5,60.4,62.1,60.8,61.1,61.6,64.4,62.6,62.1,63.9
01039,65.8,65.1,64.8,65.5,64.1,66,64.1,64.4,64.9,67,65.6,64.5,67.7
01041,64.7,64.1,63.9,64.7,62.9,64.6,62.8,63.2,63.6,66.3,64.9,63.4,66.6
01043,61,59.9,59.5,60.4,58.2,60.2,58.5,59.5,59.7,62.3,61,60.3,62.2
01045,65.7,64.8,64.7,65.2,64,66.1,64.5,64.8,65.3,67.7,66.2,64.7,67.4
01047,64.5,63.6,63.1,64.4,62.3,64.8,63.1,63.3,63.9,66.3,64.9,64.1,66.3
01049,60.2,58.6,58.6,59.5,57,58.9,57.4,58.5,58.5,60.9,59.4,59,60.4
01051,63.9,63.4,63,64.1,61.9,63.6,62.5,62.7,63.2,65.7,64.1,63.4,65.9
01053,66.2,65.8,65.3,66,64.2,66.2,64.5,64.8,65.5,67.4,66.2,64.9,68.2
01055,61.4,60,59.9,61.1,58.9,60.6,59,60.2,60.3,62.8,61.5,60.9,62.6
01057,62.4,61.8,61.4,62.3,60.2,61.9,59.9,61,60.9,63.5,62.5,61.6,63.5
01059,60.8,59.3,59.5,60.2,58.3,59.7,57.9,59.2,59.3,61.7,60.6,59.7,61.5
01061,66.5,65.3,65,65.5,64.7,66.5,64.9,65,65.7,67.9,66.3,65.3,68.2
01063,64.2,63.7,62.9,64.2,62.1,64.3,62.3,62.7,62.9,65.5,64.1,63.5,64.9
